feature,importance
seat_now_occupied,0.31717572049487874
new_person_present,0.27303820262942563
time_since_person,0.11700197464060416
num_previous_returns,0.05324639289991472
time_of_day,0.021699894866185954
total_session_minutes,0.021688757891716665
current_sit_minutes,0.020550513413350638
item_types_mouse,0.010793941825031942
item_types_wallet,0.010450244866139902
item_types_book,0.010213289011340006
item_types_bottle,0.009104659865863039
item_types_glasses,0.00859743005592509
item_types_keys,0.007778792800419633
item_types_pen,0.006423397180929217
item_types_earphones,0.005752344351156966
item_types_charging-cable,0.00564050212339023
item_types_paper,0.004767445252915518
weekday_Thu,0.002866741030684772
weekday_Tue,0.0027601279939772653
weekday_Fri,0.0027011729689151616
weekday_Mon,0.002695902034227072
weekday_Sat,0.0026564654599148915
weekday_Wed,0.0026307880838691627
weekday_Sun,0.002536462281158007
"item_types_pen,wallet",0.002507017852867937
"item_types_glasses,wallet",0.0016388708772125922
"item_types_book,pen",0.0010853782388739273
"item_types_paper,pen",0.0010760893658671815
"item_types_keys,paper",0.001073301866030474
"item_types_charging-cable,mouse",0.0010337076084995039
"item_types_earphones,paper",0.0010309760732312688
"item_types_charging-cable,paper",0.0010038437320662764
"item_types_book,charging-cable",0.000994831417889306
"item_types_bottle,pen",0.0009920261055689026
item_types_watch,0.000973617530328321
"item_types_book,bottle",0.0009606686709675255
"item_types_bottle,charging-cable",0.0009351043097503264
"item_types_keys,pen",0.0009343268474193744
"item_types_charging-cable,earphones",0.0009335971630634517
item_types_bag,0.0009260743642180089
"item_types_earphones,pen",0.0008739913199642254
"item_types_glasses,paper",0.0008728501073176326
"item_types_bottle,glasses",0.000871566918358774
"item_types_book,mouse",0.0008614629430757966
"item_types_glasses,pen",0.000847886228459941
"item_types_book,earphones",0.0007869919903359037
"item_types_charging-cable,pen",0.0007792263454530421
"item_types_laptop,watch",0.0007763842323080885
"item_types_glasses,mouse",0.0007711631062972085
item_types_phone,0.0007530311105080717
"item_types_paper,wallet",0.0007088792963966092
"item_types_glasses,keys",0.0007068136904227399
"item_types_book,paper",0.0006854069631135078
item_types_laptop,0.0006782436070121809
"item_types_earphones,glasses",0.0006760825953501091
"item_types_bottle,paper",0.0006601753488773959
"item_types_charging-cable,glasses",0.0006324753615323088
"item_types_book,glasses",0.0006188458152118834
"item_types_keys,paper,pen",0.0005861572663866228
"item_types_bottle,mouse",0.0005725344691615507
"item_types_charging-cable,wallet",0.0005546097900996992
