item_types,weekday,time_since_person,time_of_day,current_sit_minutes,total_session_minutes,num_previous_returns,seat_now_occupied,new_person_present,label
"phone,earphones,watch",Tue,22,17.87,152,304,3,1,0,OCCUPIED
book,Mon,29,21.52,181,326,1,1,1,LEFT_BEHIND
"wallet,watch,glasses,iPad",Sat,49,12.21,131,224,2,0,1,TEMP_LEAVE
"laptop,phone,mouse,paper",Thu,19,10.91,126,250,1,0,1,TEMP_LEAVE
"book,paper",Tue,51,21.87,132,203,0,0,1,LEFT_BEHIND
"keys,glasses",Wed,19,17.41,134,186,2,0,1,LEFT_BEHIND
"laptop,paper,charging-cable,mouse",Thu,37,21.99,41,180,1,0,1,TEMP_LEAVE
"glasses,laptop",Thu,35,8.59,193,261,3,0,0,TEMP_LEAVE
iPad,Sat,3,18.33,35,217,3,1,1,TEMP_LEAVE
"wallet,book,mouse",Fri,60,19.05,67,83,5,1,0,OCCUPIED
"book,bottle,charging-cable",Tue,17,21.4,178,239,2,0,0,LEFT_BEHIND
"student-id,book,iPad,wallet",Tue,51,13.81,106,270,3,1,1,LEFT_BEHIND
"charging-cable,iPad",Tue,0,16.87,111,180,2,0,0,OCCUPIED
"pen,book,phone",Wed,15,9.24,48,92,0,1,0,OCCUPIED
"iPad,keys,charging-cable",Thu,17,21.41,7,158,5,0,0,TEMP_LEAVE
iPad,Sat,35,16.1,17,182,3,0,1,TEMP_LEAVE
"charging-cable,glasses",Sat,3,8.81,117,175,1,0,0,TEMP_LEAVE
"wallet,paper",Fri,19,13.44,117,208,1,0,0,LEFT_BEHIND
"iPad,student-id",Sat,13,10.93,130,302,4,1,0,OCCUPIED
"student-id,book",Mon,7,19.15,141,198,3,1,1,TEMP_LEAVE
"earphones,bag",Sun,46,10.24,65,156,0,1,0,OCCUPIED
glasses,Fri,6,10.16,5,76,4,0,1,TEMP_LEAVE
watch,Thu,0,16.01,43,229,2,0,0,OCCUPIED
"glasses,keys",Mon,51,16.06,114,302,2,1,0,OCCUPIED
"iPad,bottle,earphones",Sun,1,19.1,115,178,3,0,0,TEMP_LEAVE
mouse,Thu,36,9.67,140,249,5,0,1,LEFT_BEHIND
"paper,keys",Tue,9,20.87,193,362,3,1,1,TEMP_LEAVE
"pen,laptop,bottle,watch",Sun,10,11.55,70,76,0,1,1,TEMP_LEAVE
"book,pen",Wed,12,20.23,113,275,0,1,0,OCCUPIED
"phone,paper,pen,bottle",Tue,45,21.16,133,183,1,0,1,TEMP_LEAVE
"watch,wallet,earphones,mouse",Mon,59,14.95,65,250,4,0,0,TEMP_LEAVE
"wallet,book,watch,keys",Fri,54,13.91,30,112,0,1,0,OCCUPIED
"keys,glasses,earphones",Mon,7,13.07,62,254,1,0,0,TEMP_LEAVE
mouse,Sat,29,17.53,99,140,3,1,1,LEFT_BEHIND
"watch,glasses",Sat,32,18.71,169,277,0,0,0,LEFT_BEHIND
"charging-cable,pen",Wed,12,16.23,26,115,4,1,0,OCCUPIED
"keys,mouse,student-id",Sun,4,10.35,140,290,4,1,0,OCCUPIED
"watch,phone",Fri,52,10.15,147,283,0,0,0,LEFT_BEHIND
keys,Sun,11,11.76,183,375,3,0,0,LEFT_BEHIND
pen,Sat,43,12.2,11,117,1,1,1,LEFT_BEHIND
phone,Sat,35,18.83,40,199,0,0,1,LEFT_BEHIND
"book,paper,wallet",Wed,45,12.13,191,306,3,1,0,OCCUPIED
"watch,mouse,phone",Sun,46,20.35,132,166,1,0,0,TEMP_LEAVE
"watch,laptop,earphones,wallet",Mon,48,8.76,186,303,0,1,1,LEFT_BEHIND
"mouse,laptop",Tue,15,19.71,74,169,1,1,1,LEFT_BEHIND
student-id,Mon,29,9.13,73,195,5,0,0,TEMP_LEAVE
"charging-cable,bag",Thu,58,9.35,27,72,4,1,1,LEFT_BEHIND
"glasses,laptop,phone,iPad",Mon,4,9.6,141,299,5,1,1,TEMP_LEAVE
watch,Wed,24,20.3,115,240,0,1,1,LEFT_BEHIND
earphones,Mon,29,15.21,11,103,0,0,0,LEFT_BEHIND
"student-id,keys,wallet,bottle",Sat,56,18.31,175,252,4,1,1,LEFT_BEHIND
"phone,bottle,pen",Sun,21,18.41,58,71,5,0,0,TEMP_LEAVE
"paper,wallet,charging-cable,glasses",Sun,24,9.28,152,351,2,1,1,LEFT_BEHIND
bag,Sun,11,11.03,106,282,0,0,0,TEMP_LEAVE
"keys,phone",Wed,58,18.51,35,89,5,0,1,TEMP_LEAVE
"bag,glasses",Sat,60,17.86,156,275,3,0,0,TEMP_LEAVE
watch,Sun,12,13.98,139,153,2,0,1,TEMP_LEAVE
earphones,Tue,24,21.43,112,137,3,0,0,LEFT_BEHIND
earphones,Sun,11,13.65,82,147,1,1,0,OCCUPIED
keys,Wed,29,11.87,6,78,2,1,0,OCCUPIED
glasses,Mon,1,12.25,142,296,3,0,0,TEMP_LEAVE
"bag,wallet,book",Sat,7,17.95,82,98,1,0,1,TEMP_LEAVE
"paper,bottle",Thu,30,11.03,152,165,3,1,0,OCCUPIED
bag,Thu,9,19.43,144,286,5,0,1,TEMP_LEAVE
pen,Wed,56,19.41,84,259,2,0,0,LEFT_BEHIND
"bottle,student-id",Mon,16,15.13,114,253,3,0,0,TEMP_LEAVE
"charging-cable,keys,pen",Mon,42,11.57,10,108,1,0,1,LEFT_BEHIND
phone,Fri,34,16.17,74,116,5,0,0,TEMP_LEAVE
"wallet,book,watch",Mon,24,10.1,52,144,1,0,0,TEMP_LEAVE
laptop,Fri,35,9.72,130,165,2,1,1,LEFT_BEHIND
paper,Sun,51,12.56,144,187,1,0,0,LEFT_BEHIND
"bottle,charging-cable",Tue,23,19.41,65,103,5,0,1,LEFT_BEHIND
"charging-cable,wallet,bag",Tue,6,8.34,41,237,4,1,0,OCCUPIED
"glasses,student-id,pen,keys",Fri,15,14.38,45,223,2,1,1,LEFT_BEHIND
keys,Sat,46,20.06,54,100,5,1,0,OCCUPIED
"bag,bottle,charging-cable",Sun,48,9.51,119,284,0,1,0,OCCUPIED
"laptop,mouse,phone,wallet",Sun,52,13.94,169,362,1,1,0,OCCUPIED
"watch,mouse",Wed,37,20.03,185,288,1,1,0,OCCUPIED
bag,Sat,58,18.99,169,190,3,1,1,LEFT_BEHIND
bottle,Wed,36,17.86,141,241,3,0,1,LEFT_BEHIND
"pen,charging-cable,iPad,watch",Sun,28,14.07,11,132,2,0,0,TEMP_LEAVE
watch,Wed,2,8.89,138,180,4,1,1,TEMP_LEAVE
"student-id,watch,laptop",Sat,31,17.09,130,196,0,1,1,LEFT_BEHIND
"wallet,glasses,book",Thu,22,16.98,146,294,2,1,1,LEFT_BEHIND
"wallet,student-id,pen",Tue,33,15.09,194,227,2,1,0,OCCUPIED
mouse,Mon,8,12.28,139,263,5,1,1,TEMP_LEAVE
iPad,Sat,27,19.27,94,233,1,0,1,TEMP_LEAVE
"bottle,pen",Sat,29,16.49,194,295,3,0,1,LEFT_BEHIND
"book,wallet,paper",Sun,49,9.65,150,325,2,0,0,LEFT_BEHIND
charging-cable,Thu,50,18.36,17,108,4,0,0,LEFT_BEHIND
"laptop,student-id,glasses",Sat,58,11.32,67,111,1,0,0,TEMP_LEAVE
"charging-cable,mouse,phone",Sun,11,18.81,51,180,2,0,1,TEMP_LEAVE
"wallet,glasses,iPad,paper",Sun,35,14.84,137,177,4,1,1,LEFT_BEHIND
"laptop,bottle,book,paper",Fri,35,19.29,109,220,4,0,1,TEMP_LEAVE
iPad,Sat,34,10.0,82,243,3,0,1,TEMP_LEAVE
"phone,watch,laptop,student-id",Fri,14,8.13,95,170,2,1,1,TEMP_LEAVE
"watch,phone,paper",Thu,6,13.21,50,168,4,0,0,TEMP_LEAVE
mouse,Wed,49,15.88,174,354,3,0,0,LEFT_BEHIND
"iPad,bottle,paper",Tue,55,12.62,83,126,3,1,0,OCCUPIED
earphones,Fri,20,13.01,25,117,2,1,0,OCCUPIED
keys,Thu,16,14.53,14,25,2,0,0,LEFT_BEHIND
"watch,bag,paper,keys",Thu,10,13.37,31,180,4,1,0,OCCUPIED
"paper,mouse,iPad",Sun,37,15.05,77,271,0,1,0,OCCUPIED
iPad,Sun,21,21.71,52,232,1,0,1,TEMP_LEAVE
"laptop,glasses,pen,watch",Wed,8,17.05,143,200,3,1,1,TEMP_LEAVE
keys,Fri,35,13.37,6,88,4,1,0,OCCUPIED
