=== SUMMARY LOG START ===
[2025-12-01T20:05:03.634744] log_and_depth module imported; DB + logs initialised.
[2025-12-01T20:05:40.105608] log_and_depth module imported; DB + logs initialised.
[2025-12-01T20:15:23.515845] log_and_depth module imported; DB + logs initialised.
[2025-12-01T20:18:11.580642] log_and_depth module imported; DB + logs initialised.
[2025-12-01T20:19:23.221665] log_and_depth module imported; DB + logs initialised.
[2025-12-01T20:22:50.436344] log_and_depth module imported; DB + logs initialised.
[2025-12-01T20:27:42.568929] log_and_depth module imported; DB + logs initialised.
[2025-12-01T20:52:11.000388] log_and_depth module imported; DB + logs initialised.
[2025-12-01T21:35:31.100553] log_and_depth module imported; DB + logs initialised.
[2025-12-01T21:36:08.809500] log_and_depth module imported; DB + logs initialised.
[2025-12-01T21:41:21.733855] log_and_depth module imported; DB + logs initialised.
[2025-12-01T21:48:11.026162] log_and_depth module imported; DB + logs initialised.
[2025-12-01T22:15:42.334590] log_and_depth module imported; DB + logs initialised.
[2025-12-01T22:29:13.442122] log_and_depth module imported; DB + logs initialised.
[2025-12-01T22:37:01.047529] log_and_depth module imported; DB + logs initialised.
[2025-12-01T22:55:52.274932] log_and_depth module imported; DB + logs initialised.
[2025-12-01T23:25:11.667757] log_and_depth module imported; DB + logs initialised.
[2025-12-01T23:40:59.316713] log_and_depth module imported; DB + logs initialised.
[2025-12-02T00:30:24.126126] log_and_depth module imported; DB + logs initialised.
[2025-12-02T00:31:10.460887] log_and_depth module imported; DB + logs initialised.
[2025-12-02T00:50:42.060982] log_and_depth module imported; DB + logs initialised.
[2025-12-02T00:51:14.908269] log_and_depth module imported; DB + logs initialised.
[2025-12-02T01:23:34.597190] log_and_depth module imported; DB + logs initialised.
[2025-12-02T01:42:45.457706] log_and_depth module imported; DB + logs initialised.
[2025-12-02T01:50:49.902619] log_and_depth module imported; DB + logs initialised.
[2025-12-02T01:52:54.720219] log_and_depth module imported; DB + logs initialised.
[2025-12-02T01:53:27.025385] log_and_depth module imported; DB + logs initialised.
[2025-12-02T02:52:31.393852] log_and_depth module imported; DB + logs initialised.
[2025-12-02T02:57:32.044958] log_and_depth module imported; DB + logs initialised.
[2025-12-02T03:40:10.826536] log_and_depth module imported; DB + logs initialised.
[2025-12-02T04:18:20.059147] log_and_depth module imported; DB + logs initialised.
[2025-12-03T19:33:16.134027] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:02:40.000083] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:04:02.645035] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:05:28.146209] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:07:46.086578] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:09:17.812401] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:10:42.178639] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:14:43.493047] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:19:20.846519] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:33:03.711751] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:38:09.695039] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:46:45.511043] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:47:52.123404] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:49:56.094790] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:51:14.709006] log_and_depth module imported; DB + logs initialised.
[2025-12-03T21:54:39.788220] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:19:32.630532] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:21:18.620083] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:28:20.469301] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:31:45.831546] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:34:34.605131] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:35:46.423577] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:37:15.137811] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:45:14.444586] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:51:48.945878] log_and_depth module imported; DB + logs initialised.
[2025-12-03T22:55:22.663579] log_and_depth module imported; DB + logs initialised.
[2025-12-03T23:02:45.372359] log_and_depth module imported; DB + logs initialised.
[2025-12-03T23:08:53.849593] log_and_depth module imported; DB + logs initialised.
[2025-12-03T23:17:14.851891] log_and_depth module imported; DB + logs initialised.
[2025-12-03T23:21:42.838381] log_and_depth module imported; DB + logs initialised.
[2025-12-03T23:32:53.292789] log_and_depth module imported; DB + logs initialised.
[2025-12-03T23:45:41.605213] log_and_depth module imported; DB + logs initialised.
[2025-12-04T00:36:19.157025] log_and_depth module imported; DB + logs initialised.
[2025-12-04T00:37:14.563248] log_and_depth module imported; DB + logs initialised.
[2025-12-04T00:39:45.711819] log_and_depth module imported; DB + logs initialised.
[2025-12-04T00:44:47.960505] log_and_depth module imported; DB + logs initialised.
